open_time,close_time,open,high,low,close,volume,quote_volume,symbol,rsi_1h,oi_time,oi_contracts,oi_value_now,current_price_change_pct_24h,current_volume_24h,market_provider
2026-04-16 18:00:00+00:00,2026-04-16 18:59:59.999000+00:00,74333.7,75099.0,74227.8,75029.9,249732,18663351.6503,BTCUSDT,,,,,0.43,388591114.6598,kucoin
2026-04-16 19:00:00+00:00,2026-04-16 19:59:59.999000+00:00,75030.0,75399.9,74723.6,75334.4,467055,35076452.0274,BTCUSDT,,,,,0.43,388591114.6598,kucoin
2026-04-16 20:00:00+00:00,2026-04-16 20:59:59.999000+00:00,75333.4,75518.0,74969.6,75207.4,382301,28751908.73,BTCUSDT,,,,,0.43,388591114.6598,kucoin
2026-04-16 21:00:00+00:00,2026-04-16 21:59:59.999000+00:00,75220.1,75269.7,74772.9,74920.5,169745,12728471.7095,BTCUSDT,,,,,0.43,388591114.6598,kucoin
2026-04-16 22:00:00+00:00,2026-04-16 22:59:59.999000+00:00,74920.6,75104.9,74814.1,74849.2,73285,5491806.1265,BTCUSDT,,,,,0.43,388591114.6598,kucoin
2026-04-16 23:00:00+00:00,2026-04-16 23:59:59.999000+00:00,74849.2,75160.9,74821.6,75129.4,93166,6990005.044,BTCUSDT,,,,,0.43,388591114.6598,kucoin
2026-04-17 00:00:00+00:00,2026-04-17 00:59:59.999000+00:00,75129.4,75139.3,74865.1,74923.3,95038,7125156.8335,BTCUSDT,,,,,0.43,388591114.6598,kucoin
2026-04-17 01:00:00+00:00,2026-04-17 01:59:59.999000+00:00,74919.9,75019.2,74551.5,74735.4,130810,9776582.0163,BTCUSDT,,,,,0.43,388591114.6598,kucoin
2026-04-17 02:00:00+00:00,2026-04-17 02:59:59.999000+00:00,74735.4,74794.7,74525.6,74671.5,81899,6114347.7373,BTCUSDT,,,,,0.43,388591114.6598,kucoin
2026-04-17 03:00:00+00:00,2026-04-17 03:59:59.999000+00:00,74697.7,74830.9,74586.0,74606.2,73700,5505026.7315,BTCUSDT,,,,,0.43,388591114.6598,kucoin
2026-04-17 04:00:00+00:00,2026-04-17 04:59:59.999000+00:00,74608.7,74844.9,74578.8,74776.7,41306,3086698.5229,BTCUSDT,,,,,0.43,388591114.6598,kucoin
2026-04-17 05:00:00+00:00,2026-04-17 05:59:59.999000+00:00,74780.6,74793.9,74539.8,74632.8,56359,4207068.6248,BTCUSDT,,,,,0.43,388591114.6598,kucoin
2026-04-17 06:00:00+00:00,2026-04-17 06:59:59.999000+00:00,74632.7,74944.0,74586.4,74929.8,83187,6220806.8364,BTCUSDT,,,,,0.43,388591114.6598,kucoin
2026-04-17 07:00:00+00:00,2026-04-17 07:59:59.999000+00:00,74929.8,75086.2,74917.6,75064.7,85536,6414474.7528,BTCUSDT,,,,,0.43,388591114.6598,kucoin
2026-04-17 08:00:00+00:00,2026-04-17 08:59:59.999000+00:00,75064.7,75869.8,74974.7,75744.3,408585,30825202.233,BTCUSDT,82.20974134068521,,,,0.43,388591114.6598,kucoin
2026-04-17 09:00:00+00:00,2026-04-17 09:59:59.999000+00:00,75759.5,76350.9,75500.0,75758.8,618991,46937956.4972,BTCUSDT,82.28660875221637,,,,0.43,388591114.6598,kucoin
2026-04-17 10:00:00+00:00,2026-04-17 10:59:59.999000+00:00,75758.7,75882.3,75065.0,75264.6,380788,28706605.975,BTCUSDT,71.02298046506769,,,,0.43,388591114.6598,kucoin
2026-04-17 11:00:00+00:00,2026-04-17 11:59:59.999000+00:00,75257.1,75590.3,75227.6,75564.7,123063,9279872.4439,BTCUSDT,73.40375067081351,,,,0.43,388591114.6598,kucoin
2026-04-17 12:00:00+00:00,2026-04-17 12:59:59.999000+00:00,75569.8,76237.9,75502.6,76229.0,396141,30078725.9771,BTCUSDT,77.75973797520074,,,,0.43,388591114.6598,kucoin
2026-04-17 13:00:00+00:00,2026-04-17 13:59:59.999000+00:00,76216.0,77400.0,76011.7,77310.7,1681000,128961063.3233,BTCUSDT,82.7220643310136,,,,0.43,388591114.6598,kucoin
2026-04-17 14:00:00+00:00,2026-04-17 14:59:59.999000+00:00,77318.3,78028.0,76982.1,77844.7,945631,73382809.695,BTCUSDT,84.55426528717695,,,,0.43,388591114.6598,kucoin
2026-04-17 15:00:00+00:00,2026-04-17 15:59:59.999000+00:00,77853.6,77948.9,77401.8,77749.1,287439,22321058.2934,BTCUSDT,82.86020609646444,,,,0.43,388591114.6598,kucoin
2026-04-17 16:00:00+00:00,2026-04-17 16:59:59.999000+00:00,77745.3,78302.0,77670.2,77808.0,450933,35188994.279,BTCUSDT,83.08506264492189,,,,0.43,388591114.6598,kucoin
2026-04-17 17:00:00+00:00,2026-04-17 17:59:59.999000+00:00,77811.8,77880.7,77042.8,77485.6,316640,24514655.1229,BTCUSDT,77.12106600396154,,,,0.43,388591114.6598,kucoin
2026-04-17 18:00:00+00:00,2026-04-17 18:59:59.999000+00:00,77485.2,77535.3,77053.5,77134.8,171383,13229033.887,BTCUSDT,71.13747221829082,,,,0.43,388591114.6598,kucoin
2026-04-17 19:00:00+00:00,2026-04-17 19:59:59.999000+00:00,77130.3,77455.2,76964.9,77366.4,297876,23000786.6374,BTCUSDT,72.6463959478954,,,,0.43,388591114.6598,kucoin
2026-04-17 20:00:00+00:00,2026-04-17 20:59:59.999000+00:00,77368.6,77592.1,77140.7,77324.9,184186,14246653.8313,BTCUSDT,71.920821816244,,,,0.43,388591114.6598,kucoin
2026-04-17 21:00:00+00:00,2026-04-17 21:59:59.999000+00:00,77315.3,77489.7,77258.4,77445.1,191368,14808952.6515,BTCUSDT,72.76916150596392,,,,0.43,388591114.6598,kucoin
2026-04-17 22:00:00+00:00,2026-04-17 22:59:59.999000+00:00,77434.9,77507.1,77262.6,77294.1,73027,5652021.7544,BTCUSDT,69.9116239525828,,,,0.43,388591114.6598,kucoin
2026-04-17 23:00:00+00:00,2026-04-17 23:59:59.999000+00:00,77294.1,77299.0,76904.1,77057.3,115214,8883057.3725,BTCUSDT,65.56355423678474,,,,0.43,388591114.6598,kucoin
2026-04-18 00:00:00+00:00,2026-04-18 00:59:59.999000+00:00,77056.1,77241.1,76968.3,77146.5,42902,3308105.7032,BTCUSDT,66.41100020896809,,,,0.43,388591114.6598,kucoin
2026-04-18 01:00:00+00:00,2026-04-18 01:59:59.999000+00:00,77159.9,77323.3,77100.1,77199.3,53420,4125764.3459,BTCUSDT,66.92978174611383,,,,0.43,388591114.6598,kucoin
